Date;Cover User;ProjectReference;Customer;BuildSite;User Key;
09062020;Administrator;1;;;461035307279767895;

Type;Provider;Order reference;Reference;Description;Quantity;Packaging - L;Packaging - H;cumulated length;Interior color;Interior Finition;Exterior Color;Exterior finition;Unit Price;Price;
Beam;Flandria;100048;100048;L 50x20x2 ;2;6040;;9799.00;;;7046;RAL BR;17.44;34.87;
Beam;Flandria;100160;100160;L 40x25x2;2;6040;;6525.60;;;7046;RAL BR;16.42;32.84;
Beam;Flandria;100197;100197;L 50x20x3 ;2;6040;;9755.00;;;;;14.94;29.88;
Beam;Flandria;422278;422278;Szyna Alu Gr;5;6500;;24500.51;;;;;13.16;65.80;
Beam;Flandria;422290;422290;Szykana Gr;10;5000;;40804.12;7046;RAL BR;;;11.65;116.53;
Beam;Flandria;422323;422323;Listwa maskujaca Gr;7;6500;;40096.08;7046;RAL BR;;;15.91;111.38;
Beam;Flandria;422385;422385;Listwa maskujaca Gr;5;6500;;30575.54;7046;RAL BR;;;21.51;107.57;
Beam;Flandria;422417;422417;Listwa przyszybowa_31,7 All;3;6500;;17052.55;7046;RAL BR;;;19.16;57.48;
Beam;Flandria;422419;422419;Listwa przyszybowa Gr;15;6500;;86834.42;7046;RAL BR;;;12.13;181.99;
Beam;Flandria;430744;430744;Profil nascienny gorny ;2;6500;;9799.00;;;7046;RAL BR;34.11;68.22;
Beam;Flandria;430745;430745;Listwa miedzybelkowa Var;3;6500;;17845.56;7046;RAL BR;;;45.95;137.84;
Beam;Flandria;430747;430747;Obudowa splywu wody;1;5000;;4400.00;;;7046;RAL BR;55.87;55.87;
Beam;Flandria;430748;430748;Mocowanie splywu wody;1;5000;;4400.00;;;;;15.02;15.02;
Beam;Flandria;431095;431095;Profil nascienny regul. 1/2;1;4500;;4400.00;7046;RAL BR;;;39.82;39.82;
Beam;Flandria;431095;431095;Profil nascienny regul. 1/2;1;6500;;5145.00;7046;RAL BR;;;57.52;57.52;
Beam;Flandria;431096;431096;Profil nascienny regul. 2/2 Var ;1;4500;;4400.00;7046;RAL BR;;;16.94;16.94;
Beam;Flandria;431096;431096;Profil nascienny regul. 2/2 Var ;1;6500;;5355.00;7046;RAL BR;;;24.46;24.46;
Beam;Flandria;431098;431098;Podwyzszenie rynny stand.;1;4500;;4400.00;;;7046;RAL BR;40.05;40.05;
Beam;Flandria;431098;431098;Podwyzszenie rynny stand.;1;6500;;5399.00;;;7046;RAL BR;57.85;57.85;
Beam;Flandria;431232;431232;Rygiel dachowy;2;6500;;9408.98;7046;RAL BR;;;31.29;62.59;
Beam;Flandria;431292;431292;Pokrywa krokwi;7;6500;;44334.24;;;7046;RAL BR;19.36;135.52;
Beam;Flandria;431349;431349;Mocowanie uszczelki;2;6500;;9799.00;;;7046;RAL BR;26.22;52.44;
Beam;Flandria;431356;431356;Krokiew-105 Var;7;6500;;42691.88;7046;RAL BR;;;101.9;713.32;
Beam;Flandria;431484;431484;Przylga krokwi;7;6500;;43718.25;;;;;27.25;190.75;
Beam;Flandria;431551;431551;Profil krawedziowy;2;4700;;6498.04;;;7046;RAL BR;36.1;72.20;
Beam;Flandria;431782;431782;Rynna standardowa;1;4500;;4400.00;;;7046;RAL BR;76.95;76.95;
Beam;Flandria;431782;431782;Rynna standardowa;1;6500;;5399.00;;;7046;RAL BR;111.15;111.15;
Beam;Flandria;431964;431964;Pokrywa rygiel dachowy;2;6500;;9408.98;;;7046;RAL BR;17.24;34.48;
Beam;Flandria;440739;440739;Pokrywa 50 slupa 125;2;4500;;6678.82;;;7046;RAL BR;10.26;20.52;
Beam;Flandria;440739;440739;Pokrywa 50 slupa 125;1;5500;;4400.00;;;7046;RAL BR;12.54;12.54;
Beam;Flandria;738211;738211;Maskownica prowadnica Gr;20;6500;;102820.25;;;;;7.89;157.79;
Beam;Flandria;738213;738213;Szykana PVC Gr;10;5000;;40804.12;;;;;12.37;123.68;
Beam;Flandria;738279;738279;PVC izolacja krokiew;14;3800;;42691.89;;;;;3.35;46.94;
Beam;Flandria;999231;999231;Oscieznica_24 All;3;6500;;13586.81;7046;RAL BR;7046;RAL BR;67.92;203.77;
Beam;Flandria;999233;999233;Przewiazka_24 All;1;6500;;2281.68;7046;RAL BR;7046;RAL BR;73.83;73.83;
Beam;Flandria;999255;999255;Profil poszerzajacy_50 All;1;6500;;775.64;7046;RAL BR;7046;RAL BR;85.89;85.89;
Beam;Flandria;999282;999282;Skrzydlo Gr;1;5000;;2907.24;7046;RAL BR;7046;RAL BR;65.36;65.36;
Beam;Flandria;999282;999282;Skrzydlo Gr;8;6500;;49306.06;7046;RAL BR;7046;RAL BR;84.96;679.71;
Beam;Flandria;999283;999283;Skrzydlo Gr;1;5000;;4182.00;7046;RAL BR;7046;RAL BR;56.46;56.46;
Beam;Flandria;999283;999283;Skrzydlo Gr;6;6500;;37638.12;7046;RAL BR;7046;RAL BR;73.39;440.36;
Beam;Flandria;999287;999287;Oscieznica 3-skrz Gr;10;6500;;52190.06;7046;RAL BR;7046;RAL BR;137.9;1379.04;
Beam;Flandria;999294;999294;Slup 125x50;2;4500;;6683.34;7046;RAL BR;7046;RAL BR;75;150.00;
Beam;Flandria;999294;999294;Slup 125x50;1;5500;;4400.00;7046;RAL BR;7046;RAL BR;91.67;91.67;
Beam;Flandria;999302;999302;Belka rynnowa Var;1;4500;;4400.00;7046;RAL BR;;;120.83;120.83;
Beam;Flandria;999302;999302;Belka rynnowa Var;1;6500;;5399.00;7046;RAL BR;;;174.53;174.53;
Beam;Flandria;999353;999353;Slup 90° 125x125;1;5500;;4585.58;7046;RAL BR;7046;RAL BR;135.09;135.09;
AccessoryPack;Flandria;732080;732080;Trzpien Iacznikowy;1;100;;4;;;;;17.68;17.68;
AccessoryPack;Flandria;732126;732126;Igla blokady;104;1;;104;;;;;.1;.1;
AccessoryPack;Flandria;732181;732181;Przelew rynny;34;1;;34;;;;;.39;.39;
AccessoryPack;Flandria;732187;732187;Klamra lacznikowa 135/150°;1;1;;1;;;;;.43;.43;
AccessoryPack;Flandria;732263;732263;Lacznik 180° rynnowa;1;1;;1;;;;;1.19;1.19;
AccessoryPack;Flandria;732286;732286;Katownik mocujacy slup 50;8;1;;8;;;;;2.28;2.28;
AccessoryPack;Flandria;733032;733032;Lacznik rynny 180°;1;1;;1;;;;;1.56;1.56;
AccessoryPack;Flandria;737086;737086;Nakladka przyscienna;2;1;;2;;;7046;RAL BR;5.92;5.92;
AccessoryPack;Flandria;737115;737115;Nakladka rynny standard;2;1;;2;;;7046;RAL BR;8.2;8.2;
AccessoryPack;Flandria;737120;737120;Koncowka krokiew 105 VAR;28;1;;28;7046;RAL BR;;;2.16;2.16;
AccessoryPack;Flandria;737145;737145;Zaslepka PVC pokrywy krokwi_gorna;14;1;;14;;;;;.81;.81;
AccessoryPack;Flandria;737148;737148;Zaslepka PVC pokrywy krokwi_dolna;14;1;;14;;;;;.81;.81;
AccessoryPack;Flandria;738169;738169;Zbierak wody krokwi;14;1;;14;;;;;.75;.75;
AccessoryPack;Flandria;742663;742663;Filtr PVC Ø80 rynny;2;1;;2;;;;;8.84;8.84;
AccessoryPack;Flandria;742932;742932;Katownik przegubowy skrecany All;5;1;;5;;;;;4.36;4.36;
AccessoryPack;Flandria;746007;746007;Wkr. metr. M6x10 stozek imbus Inox;10;1;;10;;;;;.07;.07;
AccessoryPack;Flandria;746055;746055;Blachowkr. walcowy Ø4.85x38 Inox;4;1;;4;;;;;.07;.07;
AccessoryPack;Flandria;746058;746058;Blachowkr. walcowy.Ø4.85x13 Inox;10;1;;10;;;;;.07;.07;
AccessoryPack;Flandria;746100;746100;Blachowkr. walcowy. Ø4.85x25_;96;1;;96;;;;;.07;.07;
AccessoryPack;Flandria;746103;746103;Blachowkr. walcowy. Ø5.5x32 Inox;140;1;;140;;;;;.12;.12;
AccessoryPack;Flandria;746114;746114;Blachowkr. walcowy Ø4.85x45 Inox;28;1;;28;;;;;.09;.09;
AccessoryPack;Flandria;746152;746152;Blachowkr. walcowy Ø5.5x60 Inox;14;1;;14;;;;;.16;.16;
AccessoryPack;Flandria;746165;746165;Podkladka EPDM 11x6x2;26;1;;26;;;;;.03;.03;
AccessoryPack;Flandria;746168;746168;Nakretka samohamowna M8 Inox;20;1;;20;;;;;.13;.13;
AccessoryPack;Flandria;746169;746169;Sruba M8x20 mlotek Inox;20;1;;20;;;;;.31;.31;
AccessoryPack;Flandria;746173;746173;Wkret samow. Ø4.2x13 Inox;263;1;;263;;;;;.05;.05;
AccessoryPack;Flandria;746175;746175;Wkret samow. Ø4.2x19 Inox;38;1;;38;;;;;.05;.05;
AccessoryPack;Flandria;746176;746176;Wkret samow. Ø4.2x25 Inox;34;1;;34;;;;;.06;.06;
AccessoryPack;Flandria;746189;746189;Wkret samow. Ø3.5x32 Inox;26;1;;26;;;;;.03;.03;
AccessoryPack;Flandria;746211;746211;Wkret samow. Ø3.9x45 Inox;26;1;;26;;;;;.1;.1;
AccessoryPack;Flandria;732265;732265;Naroznik_24 zaciskany;44;1;;44;;;;;.39;.39;
AccessoryPack;Flandria;732267;732267;Naroznik_24 zaciskany;24;1;;24;;;;;.32;.32;
AccessoryPack;Flandria;732269;732269;Kolek;48;1;;48;;;;;.15;.15;
AccessoryPack;Flandria;736019;736019;Dywan uszczel. drzwi podn-przes (1m);5;1;;5;;;;;3.15;3.15;
AccessoryPack;Flandria;732284;732284;Naroznik skrzydlo Gra;120;1;;120;;;;;.84;.84;
AccessoryPack;Flandria;738218;738218;Koncowka szykany;20;1;;20;;;;;1.77;1.77;
AccessoryPack;Flandria;738225;738225;Naroznik PVC stabilizujacy Gra;40;1;;40;;;;;.1;.1;
AccessoryPack;Flandria;742676;742676;Odbojnik drzwi przesuwnych;5;1;;5;;;;;2.52;2.52;
AccessoryPack;Flandria;742996;742996;Podkladka skrzydla;30;1;;30;;;;;.57;.57;
AccessoryPack;Flandria;743017;743017;Wozek szyna inox;20;1;;20;;;;;5.48;5.48;
AccessoryPack;Flandria;746109;746109;Blachowkr. Stozk. Ø4.85x16 Inox;5;1;;5;;;;;.07;.07;
AccessoryPack;Flandria;746196;746196;Nakretka M5;20;1;;20;;;;;.27;.27;
AccessoryPack;Flandria;746198;746198;Wkret samow. Ø4.85x38 poz Inox;180;1;;180;;;;;.07;.07;
AccessoryPack;Flandria;746210;746210;Wkr. metr. M5x45 stozek poz;20;1;;20;;;;;.27;.27;
AccessoryPack;Flandria;746213;746213;Wkr. Metr. M4x40 stozek Inox;40;1;;40;;;;;.13;.13;
AccessoryPack;Flandria;746214;746214;Nakretka M4;40;1;;40;;;;;.17;.17;
AccessoryPack;Flandria;746215;746215;Zaslepka sruby;40;1;;40;;;;;.07;.07;
AccessoryPack;Flandria;732288;732288;Klamra 10-90° All;2;1;;2;;;;;.78;.78;
AccessoryPack;Flandria;732289;732289;Klamra 95-125° All;2;1;;2;;;;;.8;.8;
AccessoryPack;Flandria;738163;738163;Wiatrochron;14;1;;14;;;;;.13;.13;
AccessoryPack;Flandria;742929;742929;Mocowanie przewiazki_24 wew All;4;1;;4;;;;;1;1;
AccessoryPack;Flandria;742931;742931;Mocowanie przewiazki regul. All;4;1;;4;;;;;5.25;5.25;
AccessoryPack;Flandria;742933;742933;Mocowanie przewiazki_24 zew All;4;1;;4;;;;;.09;.09;
AccessoryPack;Flandria;746038;746038;Kolek dociskowy M6x15 Inox;4;1;;4;;;;;.08;.08;
AccessoryPack;Flandria;746099;746099;Kolek dociskowy M8x8 Inox;8;1;;8;;;;;.07;.07;
AccessoryPack;Flandria;746172;746172;Wkret samow. Ø3.5x19 Inox;12;1;;12;;;;;.04;.04;
AccessoryPack;Flandria;746190;746190;Wkr. metr. stozek imbus M5x12 Inox;8;1;;8;;;;;.03;.03;
HardwarePack;Flandria;742743;742743;Wkladka 60-30/30;5;1;;5;;;;;11.19;11.19;
HardwarePack;Flandria;743010;743010;Zamykanie ds2609;25;1;;25;;;;;1.53;1.53;
HardwarePack;Flandria;743026;743026;Rosette cylinder ds5299;10;1;;10;7046;RAL BR;;;5.14;5.14;
HardwarePack;Flandria;743050;743050;Zamek z kluczem SR80966;5;1;;5;;;;;6.04;6.04;
HardwarePack;Flandria;743051;743051;Zamek 3-p rSR3300R;5;1;;5;;;;;16.41;16.41;
HardwarePack;Flandria;743052;743052;Przedluzacz_500 zamek r10201;5;1;;5;;;;;7.04;7.04;
HardwarePack;Flandria;743053;743053;Przedluzacz_347 zamek r10998;5;1;;5;;;;;7.04;7.04;
HardwarePack;Flandria;743065;743065;Klamka_wew ds7050;5;1;;5;7046;RAL BR;;;15.32;15.32;
HardwarePack;Flandria;743071;743071;Zestaw klamka ds2624;5;1;;5;;;;;2.35;2.35;
HardwarePack;Flandria;743074;743074;Klamka_zew ds7051;5;1;;5;;;7046;RAL BR;13.76;13.76;
GasketRoll;Flandria;731098;731098;Butyl 135x0,7;1;10000;;9899.00;;;;;16.55;16.55;
GasketRoll;Flandria;731099;731099;Butyl 20x0,7;1;50000;;28716.98;;;;;18.31;18.31;
GasketRoll;Flandria;738127;738127;Uszczelka przylgi dociskowej;1;200000;;87489.26;;;;;61.2;61.2;
GasketRoll;Flandria;738131;738131;Uszczelka krokwi 2mm;1;200000;;18917.78;;;;;38.76;38.76;
GasketRoll;Flandria;738147;738147;Uszczelka laczaca;1;100000;;24856.73;;;;;57.12;57.12;
GasketRoll;Flandria;738150;738150;Uszczelka krokwi 6mm;1;100000;;95675.78;;;;;35.7;35.7;
GasketRoll;Flandria;738170;738170;Uszczelka rynny;1;50000;;9899.00;;;;;86.45;86.45;
GasketRoll;Flandria;738185;738185;Izolacja 20mm;1;10000;;6596.58;;;;;7.86;7.86;
GasketRoll;Flandria;738195;738195;Uszczelka  gabka PU 28x60;1;26000;;9899.00;;;;;38.72;38.72;
GasketRoll;Flandria;738198;738198;Uszczelka jednokrawedziowa kalenicy;1;50000;;9899.00;;;;;71.15;71.15;
GasketRoll;Flandria;738233;738233;Uszczelka gabka PE 25x8;2;10000;;9991.79;;;;;8.24;8.24;
GasketRoll;Flandria;738248;738248;Klip lacznikowy;1;100000;;9895.00;;;;;42.84;42.84;
GasketRoll;Flandria;736021;736021;Szczotka tf 5,8x9;1;300000;;213988.31;;;;;148.32;148.32;
GasketRoll;Flandria;738242;738242;Uszczelka szklenia 6_8;1;100000;;87451.47;;;;;65.92;65.92;
GasketRoll;Flandria;738257;738257;Uszczelka;2;100000;;99996.11;;;;;36.55;36.55;
GasketRoll;Flandria;738202;738202;Uszczelka  gabka PS 18x10;2;10000;;9968.88;;;;;8.26;8.26;
GasketRoll;Flandria;738205;738205;Uszczelka  gabka PS 18x35;1;10000;;656.74;;;;;12.6;12.6;
GasketRoll;Flandria;738249;738249;Uszczelka szklenia 3-5;1;100000;;17024.47;;;;;38.58;38.58;
BackFillPack;WYPEŁNIENIA DACH M2;szkło dach 25;szkło dach 25;;11;731.46;1670.86;;;;;;1.22;13.44;
BackFillPack;WYPEŁNIENIA DACH M2;szkło dach 25;szkło dach 25;;2;681.46;1670.86;;;;;;1.14;2.28;
BackFillPack;WYPEŁNIENIA DACH M2;szkło dach 25;szkło dach 25;;11;731.46;1521.84;;;;;;1.11;12.25;
BackFillPack;WYPEŁNIENIA DACH M2;szkło dach 25;szkło dach 25;;2;681.46;1521.84;;;;;;1.04;2.07;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;2;896.67;1054.19;;;;;;1.04;2.08;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;2;908.67;715.03;;;;;;.65;1.30;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;2;746.67;371.48;;;;;;.23;.46;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;4;850.08;2001;;;;;;1.7;6.80;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;2;850.16;2001;;;;;;1.7;3.40;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;4;946.75;2001.01;;;;;;1.89;7.58;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;2;946.83;2001.01;;;;;;1.89;3.79;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;2;980.08;2001.01;;;;;;1.96;3.92;
BackFillPack;WYPEŁNIENIA ŚCIANY M2;szkło ściany;szkło ściany;;1;980.16;2001.01;;;;;;1.96;1.96;
