Order reference;lakierowane
70007;4.4
70032;12.4
70045;6.4
70337;14.4
100005;10
100025;21
100034;8
100036;12
100039;8
100040;10
100041;10
100042;11
100047;12
100048;14
100060;16
100082;20
100125;18
100159;18
100160;13
100183;28
100197;14
100199;22
100223;14
100226;20
100244;26
100253;20
120272;9.4
130011;11.7
130030;39
130066;10
130156;10.9
130188;10.6
150404;7.38
150587;9.7
150675;10.76
230002;9.6
230009;19.6
330032;14.14
330047;8
330097;12.57
330135;25.13
340004;10
340015;20
340070;36
340090;58.2
340094;58.2
350016;28.51
350054;17
350055;7.5
350071;22
350159;27.1
350162;26.16
360266;26.8
370204;8
380195;33.9
420658;4.9
420829;11.5
421031;14.4
421494;30.3
421496;34.3
421497;35.7
421505;45.3
421509;38.3
421510;34.4
421730;10.7
421732;14.9
421733;15.8
421734;16.5
421736;18.3
421751;7.21
421752;8.3
421754;19.4
421755;12.73
421795;24.8
421839;31
421851;14.3
421861;11.2
421862;34
421867;10.4
421888;39.6
421918;32.1
421926;33.5
421927;22.04
421934;40.2
421955;28.4
421962;19.7
421972;11.7
421973;20
421977;47.1
421978;63.9
421980;9.9
421991;9.27
421998;17.6
422002;11.1
422003;13.55
422004;13.17
422050;27.7
422067;32.03
422068;9.03
422069;14.2
422196;8.9
422197;10.3
422198;11.2
422199;13.6
422200;14.3
422201;15.4
422202;16.7
422205;12.7
422206;14.2
422208;15.8
422210;29.9
422211;9.4
422246;8
422278;6.79
422287;5.64
422290;12.01
422302;14.15
422303;15.36
422317;14.62
422323;14.45
422385;19.34
422417;17.49
422418;7.22
422419;6.88
422435;19.74
422436;18.79
422440;18.1
422441;13.67
422448;15.2
422449;14.4
422450;13.6
422451;12.7
422452;9.6
422453;8
422469;23.88
422490;9.89
422501;21.16
422502;12.4
422511;31.3
422512;38.3
422514;18.9
422556;24
430086;61
430090;32
430103;44.8
430104;24.9
430105;37.57
430118;27.96
430120;10.04
430150;12.54
430205;33.5
430306;71.2
430344;33.37
430432;29.2
430434;16.8
430435;23.4
430436;15.3
430437;14.8
430475;27.9
430476;31.7
430477;29.6
430505;9.6
430549;15.4
430552;33.3
430556;23.3
430558;32.68
430686;21.2
430743;43.05
430744;24.5
430745;30.9
430747;56.3
430748;23.5
430753;33.1
430778;41.1
430825;67.6
430887;28.7
430888;32.5
430941;15.1
430942;18.3
430953;13.5
430979;6.4
430997;17
431003;43.9
431024;5.7
431025;12.5
431027;25.3
431028;29.3
431029;33.9
431030;35.1
431031;24.7
431043;8.5
431059;11.15
431095;36
431096;11.8
431098;43.8
431120;40.8
431139;16.52
431164;32.9
431202;34.5
431203;25.8
431204;34.9
431207;11.8
431208;22.8
431209;34.23
431211;13.1
431228;5.35
431229;3.04
431232;23.4
431233;4.99
431237;31.9
431241;6.4
431256;39.1
431257;20.6
431258;25.4
431278;31.6
431280;30.7
431286;72.6
431292;17.6
431293;26.55
431294;22.4
431297;64.8
431328;14.2
431337;24.1
431338;16.37
431339;16.4
431340;16.5
431349;22.9
431356;49.5
431361;35.45
431363;44.6
431395;23.2
431398;82.1
431399;54.2
431400;32
431401;35.74
431408;12.5
431409;15.6
431420;36.9
431422;19.4
431423;55.5
431442;71.2
431452;90.2
431453;49.3
431454;20.4
431455;43.2
431456;34.1
431471;16.22
431478;56
431479;53.59
431484;22.88
431492;18.3
431495;20.2
431509;46.2
431517;107.6
431518;95
431519;29.4
431520;23.1
431521;57.8
431522;12.2
431523;9.3
431524;41.6
431525;35.2
431551;36.2
431554;42.5
431555;37.5
431557;30.48
431558;28.6
431561;30.7
431562;29.8
431564;38.7
431565;47.7
431566;56.8
431569;27.2
431572;21.1
431573;13.1
431574;16.5
431575;17.9
431582;10.8
431584;10.9
431591;16.3
431592;10.9
431597;26.2
431609;32.2
431620;20.3
431628;84.7
431629;60.4
431630;73.6
431631;52
431741;21.32
431758;13.22
431782;77.37
431791;64.31
431792;76.26
431861;95.89
431872;48.25
431873;22.83
431874;41.83
431877;14.62
431878;11.36
431922;46.2
431928;27.4
431936;65.91
431937;46.04
431938;44.83
431939;29.8
431963;46.5
431964;14.4
431970;50.8
440060;44
440062;11.89
440190;29.2
440191;33.4
440192;33.4
440194;12.8
440318;17.6
440325;20.4
440431;11.5
440434;26.3
440435;42.2
440483;24.2
440484;19
440485;6.74
440486;22.5
440496;15.3
440497;19.8
440515;26.34
440548;30.2
440561;41.3
440562;63.5
440577;11.2
440578;13.6
440616;46.2
440642;11.8
440683;19.7
440684;11.9
440737;21.58
440738;21.66
440739;11.62
440766;47.67
440772;6.2
440773;16.8
440791;12.7
450030;20.16
450031;22.92
450042;11.8
450076;11.7
450895;27.91
450932;24.58
450956;15.7
470031;42.13
470033;53.8
470050;47.2
490615;25.69
491219;34.4
491220;17.2
491307;20.3
491309;14.1
500059;24.19
500063;13.9
500108;9
500109;12
500114;23
500115;6.8
500123;42.51
500124;19.6
500213;30.9
500237;29.4
500238;18.3
500239;12.3
500240;8.6
500465;21.46
520444;35.24
520446;8.56
520478;20.27
520479;26.7
520484;15.2
732086;19.6
738139;0
738155;10
738158;20
738159;10
738172;19.3
738172;19.3
738175;8
738175;8
738176;9
738182;20.5
738189;8
738203;8
738207;17.6
738211;9
738213;8
738238;8
738262;9
738263;8
738264;0
739012;0
739013;20
739014;20
739015;17.6
739016;22
739017;10
739018;22
739025;22
739026;24
739027;24
739028;24
739029;8
739084;26
743064;8
810083;19.1
810084;13.4
820358;18.5
820359;22
820393;26.4
820394;13.76
999026;46.32
999061;36.95
999068;43.27
999075;51.99
999078;31.35
999079;36.82
999080;36.05
999082;31.93
999088;48.82
999090;65.91
999093;29.39
999094;35.73
999095;35.16
999096;29.86
999097;46.23
999102;34.93
999103;40.15
999106;46.37
999107;36.24
999110;40.65
999111;41.98
999112;45.86
999115;52.43
999116;31.85
999118;44.69
999119;37.82
999120;35.78
999123;39.44
999126;20.96
999127;26.23
999128;23.87
999140;33.75
999146;47.41
999147;47.34
999148;54.72
999152;25.52
999157;32.26
999158;67.53
999160;48.73
999161;68.22
999164;50.77
999165;39.35
999166;40.47
999168;46.51
999169;47.76
999170;31.27
999172;51.59
999174;35.09
999175;31.73
999176;42.09
999177;29.38
999180;40.58
999186;47.17
999187;61.1
999189;24.78
999190;39.61
999192;26.42
999194;40.82
999202;62.25
999206;55.25
999211;52.34
999212;50.24
999213;35.85
999215;56.75
999231;33.22
999232;41.72
999233;38.16
999234;43.65
999241;27.77
999243;34.64
999244;39.87
999245;34.47
999246;40.01
999247;38.42
999248;46.94
999249;82.39
999250;20.25
999251;24.05
999252;37.76
999255;33.02
999256;89.54
999257;51.21
999258;28.13
999270;42.94
999271;48.16
999282;37.81
999283;28.73
999286;56.54
999287;82.2
999288;31.94
999291;75.8
999292;60.74
999293;50.79
999294;50.82
999302;49.62
999308;60.1
999309;35.4
999310;63.4
999311;43.36
999312;33.78
999313;41.04
999315;43.01
999316;26.01
999317;32.87
999318;38.1
999319;32.7
999320;38.24
999321;18.56
999327;33.33
999329;52.55
999330;81.1
999331;44.92
999332;40.07
999333;35.22
999342;57.1
999343;37.02
999347;30.9
999348;41.3
999349;48.23
999350;22.9
999351;31.25
999352;40
999353;58
999354;30.3
999355;26.4
